net,length_um
_0444_,300.52
clknet_0_wr_clk,292.73
_0289_,289.315
_0425_,278.86
_0483_,277.92
_0501_,273.89
_0278_,261.19
_0464_,260.72
_0286_,247.4
_0474_,242.68
_0405_,240.26
_0292_,239.42
_0298_,237.155
_0256_,234.88
_0295_,232.3
_0511_,231.5
_0290_,227.365
_0291_,227.35
_0296_,225.3
_0284_,223.83
_0297_,221.11
_0415_,218.68
_0287_,217.68
_0388_,214.5
_0435_,207.64
_0529_,201.7
_0277_,201.13
_0492_,198.02
_0538_,197.39
_0280_,189.56
_0455_,184.08
_0520_,181.34
_0282_,165.92
_0394_,163.26
_0396_,161.1
clknet_1_1__leaf_rd_clk,157.56
_0390_,152.14
_0400_,145.18
_0251_,140.5
_0303_,138.06
_0385_,138.04
_0275_,133.08
_0402_,132.01
_0392_,125.14
wr_clk,124.75
_0382_,124.2
clknet_1_0__leaf_rd_clk,120.34
clknet_4_5_0_wr_clk,119.275
net7,118.6
clknet_4_0_0_wr_clk,106.28
_0302_,100.4
clknet_4_4_0_wr_clk,100.24
_0398_,94.72
clknet_4_13_0_wr_clk,92.88
wr_ptr\[4\],92.58
_0383_,92.42
rd_ptr\[4\],89.88
clknet_4_7_0_wr_clk,86.88
net2,85.3
_0345_,85.06
_0259_,84.84
wr_ptr\[2\],84.84
net6,83.58
_0339_,82.98
clknet_4_12_0_wr_clk,82.68
clknet_4_1_0_wr_clk,82.675
clknet_4_2_0_wr_clk,81.82
_0384_,81.48
net4,80.46
_0313_,79.21
_0336_,78.11
clknet_4_9_0_wr_clk,78.06
_0320_,77.12
_0258_,75.02
_0380_,74.57
wr_ptr\[3\],74.06
clknet_4_11_0_wr_clk,73.94
_0453_,73.16
_0381_,72.74
clknet_4_10_0_wr_clk,72.3
clknet_4_6_0_wr_clk,72.275
_0226_,72.14
rd_ptr_gray\[0\],67.8
_0206_,66.51
rd_ptr_gray\[3\],66.225
_0309_,65.77
clknet_4_15_0_wr_clk,65.3
_0223_,65.26
_0279_,65.06
net8,64.9
_0454_,63.84
rd_ptr\[1\],63.8
_0222_,63.22
rd_clk,62.66
rd_ptr_gray\[2\],62.66
_0334_,62.12
wr_ptr\[0\],61.11
net3,59.26
rd_ptr\[0\],57.96
clknet_4_3_0_wr_clk,57.82
_0378_,57.74
_0252_,57.7
_0200_,55.84
_0276_,55.84
_0367_,55.54
_0253_,54.7
_0224_,53.86
_0300_,52.08
clknet_4_8_0_wr_clk,49.88
net5,49.48
_0362_,47.86
rd_ptr_gray\[1\],47.06
clknet_4_14_0_wr_clk,46.84
_0386_,45.24
rd_ptr\[2\],44.18
_0250_,43.195
net9,41.68
_0414_,40.28
_0249_,39.22
_0022_,38.77
wr_ptr_gray\[1\],36.22
net1,35.72
wr_ptr_gray\[3\],34.76
net15,34.48
_0254_,33.32
rd_ptr_gray_sync2\[2\],33.08
wr_ptr_gray\[2\],32.22
rd_ptr_gray_sync2\[4\],31.93
wr_ptr_gray\[0\],31.68
_0311_,30.98
_0294_,30.74
_0348_,30.66
mem\[15\]\[3\],30.34
_0356_,30.16
mem\[11\]\[2\],29.14
_0366_,28.99
_0352_,28.98
wr_en,28.98
_0342_,28.18
net16,27.48
_0365_,27.44
_0404_,26.56
_0215_,26.44
net10,25.84
_0434_,24.88
_0219_,24.79
_0387_,24.4
net20,24.14
_0333_,24.12
_0204_,23.86
_0209_,23.72
mem\[4\]\[1\],23.28
mem\[5\]\[2\],22.96
mem\[5\]\[3\],22.86
mem\[5\]\[6\],22.72
rd_rst,22.68
mem\[6\]\[4\],22.6
net12,22.22
_0344_,21.54
_0355_,20.9
_0205_,20.8
wr_ptr_gray_sync2\[1\],20.7
_0374_,20.42
_0208_,20.34
_0473_,20.22
mem\[9\]\[0\],20.12
wr_ptr\[1\],20
net11,19.96
_0266_,19.92
_0323_,19.74
clknet_0_rd_clk,19.74
_0201_,19.2
mem\[15\]\[2\],19.08
_0370_,18.98
_0232_,18.56
wr_ptr_gray_sync1\[0\],18.42
_0211_,18.08
_0327_,18.06
_0358_,18.02
mem\[3\]\[4\],17.8
_0424_,17.78
mem\[8\]\[4\],17.7
mem\[2\]\[2\],17.44
_0221_,17.32
mem\[12\]\[3\],17.28
_0225_,17.18
mem\[15\]\[7\],17.18
_0210_,17.14
_0332_,17.12
mem\[5\]\[7\],16.92
wr_ptr_gray_sync2\[4\],16.5
_0322_,16.3
mem\[6\]\[1\],16.245
_0353_,16.24
rd_ptr_gray_sync2\[3\],16.22
_0510_,16.1
_0379_,15.72
wr_ptr_gray_sync1\[2\],15.42
rd_ptr_gray_sync1\[1\],15.38
net14,15.3
mem\[14\]\[3\],15.26
mem\[12\]\[2\],15.24
_0376_,15.16
mem\[5\]\[1\],15.02
mem\[11\]\[7\],15
mem\[5\]\[5\],14.94
mem\[11\]\[0\],14.84
mem\[9\]\[6\],14.76
net18,14.7
wr_data[0],14.65
_0267_,14.46
mem\[10\]\[5\],14.36
_0543_,14.3
mem\[4\]\[0\],14.28
_0028_,14.23
mem\[2\]\[3\],14.16
rd_ptr\[3\],14.12
mem\[10\]\[3\],14.06
mem\[13\]\[6\],13.96
_0451_,13.94
mem\[9\]\[4\],13.92
mem\[2\]\[1\],13.9
mem\[8\]\[5\],13.9
_0410_,13.86
wr_data[5],13.78
wr_data[6],13.78
_0361_,13.74
_0316_,13.58
mem\[0\]\[0\],13.58
_0260_,13.54
mem\[1\]\[4\],13.525
_0481_,13.44
_0318_,13.4
mem\[9\]\[3\],13.26
_0255_,12.96
wr_ptr_gray_sync2\[3\],12.96
mem\[12\]\[6\],12.84
_0317_,12.78
mem\[4\]\[3\],12.72
_0299_,12.62
_0516_,12.58
net13,12.58
mem\[1\]\[2\],12.56
_0238_,12.54
_0346_,12.44
mem\[14\]\[4\],12.32
_0052_,12.16
mem\[11\]\[1\],12.08
mem\[9\]\[2\],12.04
mem\[8\]\[0\],11.94
net19,11.92
_0203_,11.9
mem\[14\]\[2\],11.88
_0544_,11.82
mem\[10\]\[1\],11.785
_0457_,11.78
mem\[4\]\[7\],11.74
_0500_,11.72
mem\[1\]\[5\],11.66
rd_data[1],11.58
mem\[6\]\[2\],11.56
_0057_,11.42
_0350_,11.38
mem\[0\]\[7\],11.38
_0440_,11.36
_0128_,11.025
wr_data[7],11.02
_0372_,10.96
_0202_,10.86
mem\[0\]\[4\],10.86
mem\[6\]\[0\],10.82
_0471_,10.8
_0019_,10.78
mem\[13\]\[3\],10.76
mem\[3\]\[2\],10.745
_0456_,10.74
mem\[10\]\[7\],10.74
mem\[7\]\[4\],10.74
_0533_,10.7
_0326_,10.66
_0530_,10.66
_0078_,10.565
mem\[6\]\[3\],10.5
mem\[3\]\[5\],10.48
mem\[7\]\[0\],10.48
mem\[2\]\[4\],10.36
_0340_,10.32
mem\[14\]\[7\],10.28
_0413_,10.1
rd_en,10.08
mem\[12\]\[5\],10.02
_0321_,9.98
_0408_,9.94
mem\[0\]\[2\],9.94
rd_data[0],9.74
rd_data[2],9.74
rd_data[3],9.74
rd_data[4],9.74
rd_data[5],9.74
rd_data[6],9.74
rd_data[7],9.74
mem\[14\]\[1\],9.72
wr_rst,9.65
_0393_,9.64
_0032_,9.59
wr_ptr_gray_sync1\[1\],9.56
_0377_,9.52
_0439_,9.52
mem\[12\]\[4\],9.5
mem\[14\]\[6\],9.485
_0030_,9.46
mem\[10\]\[2\],9.445
_0437_,9.42
_0452_,9.42
mem\[13\]\[7\],9.42
